rank,team,teamName,organization,city,region,country,gradeLevel,eventSku,eventDate,combined,programming,driver,maxProgramming,maxDriver,eligible
1,88825H,ROACH,Shanghai Koller Foreign Language School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,182,91,91,91,91,false
2,45000A,HeFei X-Free A,Hefei No.45 middle school,Hefei,Anhui,China,Middle School,RE-V5RC-25-3592,2025-11-21,180,88,92,88,92,false
3,55555A,HeFei USTC A,X.USTC,Anhui,Anhui,China,Middle School,RE-V5RC-25-3592,2025-11-21,178,84,94,84,94,false
4,90696C,Rice Brothers,Private,Fremont,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,177,86,91,86,91,false
5,1698A,Limited Edition,1698,Los Altos,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,166,84,82,84,82,false
6,1840A,Eclipse,Timberline Middle School,Redmond,Washington,United States,Middle School,RE-V5RC-25-0205,2025-11-21,161,68,93,68,93,false
7,81988W,81988w,虹口机器人社Hongkou Robotics Club,上海Shanghai,Shanghai,China,Middle School,RE-V5RC-25-3592,2025-11-21,153,75,78,75,78,false
8,44A,Last Dance,上海市世界外国语中学,上海,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,149,63,86,63,86,false
9,2731P,Rainstorm VEX Team,"Qing'shao'niang, Shangcheng District, Hangzhou",Hangzhou City,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,148,68,80,69,80,false
10,1806S,Apricity,InoBotics,Mountain View,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,148,69,79,69,80,false
11,2499V,Vortex,Irvine Robotics,Irvine,California,United States,Middle School,RE-V5RC-25-1386,2025-10-11,147,72,75,72,75,false
12,55555C,X-Swordman,HF MS No.50,hefei,Anhui,China,Middle School,RE-V5RC-25-3592,2025-11-21,145,78,67,78,67,false
13,54008A,TIEYI MS-A,XIAN TIEYI MS,Xian,Shaanxi,China,Middle School,RE-V5RC-25-3771,2025-11-14,144,67,77,67,77,false
14,54009A,XIAN FULUN MS,XIAN FULUN MS,Xian,Shaanxi,China,Middle School,RE-V5RC-25-3497,2025-11-07,144,61,83,61,83,false
15,8838D,Robohawks - Amirite,ORCHARD HILLS,Irvine,California,United States,Middle School,RE-V5RC-25-1249,2025-11-16,143,67,76,67,76,false
16,1590A,Blue Army,Innovagine Robotics,Rancho Cucamonga,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,143,63,80,63,80,false
17,24580A,Inferno,AI & Robotics Youth Foundation,Irvine,California,United States,Middle School,RE-V5RC-25-0343,2025-11-08,140,67,73,67,84,false
18,15167A,SWITCH,Brighton College Vietnam,Hanoi,,Vietnam,Middle School,RE-V5RC-25-1400,2025-11-22,138,60,78,60,78,false
19,57999D,Delta,Independent,Markham,Ontario,Canada,Middle School,RE-V5RC-25-0104,2025-11-01,137,57,80,57,80,false
20,471B,Moonshot,robotics is ez,North Hollywood ,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,136,44,92,47,97,false
21,10698V,Optimus Prim3,Newton Robotics,Newton,Massachusetts,United States,Middle School,RE-V5RC-25-3009,2025-11-08,135,60,75,60,75,false
22,68699A,Driving Nuggets,Ustar STEM Lab,San Jose,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,134,65,69,65,93,false
23,33333B,X-Robo B,Hefei Luyang Garden School B,Hefei,Anhui,China,Middle School,RE-V5RC-25-3592,2025-11-21,132,75,57,75,57,false
24,17022J,Otter,Happy Robot,New Taipei City,,Taiwan,Middle School,RE-V5RC-25-0320,2025-10-25,132,65,67,65,67,false
25,8193C,Shanghai Yongchang C,Shanghai Yongchang Private School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,132,50,82,50,82,false
26,54845A,ArkDynamics,明日方舟科技（深圳）有限公司,深圳市,Guangdong,China,Middle School,RE-V5RC-25-1744,2025-10-03,131,63,68,63,68,false
27,13889X,ELIXIR,EDUCATION EMPOWERMENT ASIA,Diamond Bar,California,United States,Middle School,RE-V5RC-25-0205,2025-11-21,129,50,79,50,79,false
28,1677X,宁波鄞州赫德实验学校,宁波鄞州赫德实验学校,宁波,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,128,53,75,55,75,false
29,50550A,Holy Sword VEX Team,Hangzhou Jianlan Middle School,Hangzhou City,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,127,59,68,59,68,false
30,66666A,Hefei X-Nanmen A,HF NanMen Primary,Hefei,Anhui,China,Middle School,RE-V5RC-25-3497,2025-11-07,126,46,80,71,80,false
31,3150D,Double Or Nothing,Silver Owl Robotics Inc.,Richmond Hill,Ontario,Canada,Middle School,RE-V5RC-25-0205,2025-11-21,126,59,67,59,93,false
32,10012Y,Ten Ton Robotics,West Vancouver School District,West Vancouver,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,126,41,85,41,92,false
33,10055A,HSch Attached to BUT-A,New Start Robot Activity Center,beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,124,60,64,60,64,false
34,32288A,xk,广州市海珠区六中珠江中学（万胜围校区）,gz,Guangdong,China,Middle School,RE-V5RC-25-1744,2025-10-03,124,50,74,50,74,false
35,13701S,摸鱼队,兰州市城关区零壹科技培训学校有限公司,Lanzhou,Gansu,China,Middle School,RE-V5RC-25-3497,2025-11-07,123,42,81,42,81,false
36,85869A,The Eliminators,Garage Robotics,Folsom,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,122,48,74,48,74,false
37,19001A,19001A,万里城实验学校,上海,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,121,61,60,61,60,false
38,3036A,Bad Robot Team 3036A,Bad Robot,beij,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,121,52,69,52,69,false
39,9568V,Voltage,RoboPlanet Education and Community Society,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-0054,2025-11-23,120,57,63,57,63,false
40,16689D,Dracobots/FireBirds,Dracobots,Portland,Oregon,United States,Middle School,RE-V5RC-25-0054,2025-11-23,120,54,66,54,73,false
41,20111A,Luck Star Team,Hangzhou Middle School,Hangzhou City,Zhejiang,China,Middle School,RE-V5RC-25-1748,2025-10-24,120,54,66,54,66,false
42,2137A,Iron Paw,The Wild Robots,Los Gatos,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,120,43,77,43,77,false
43,8223Z,Team 8223Z of Beijing No.80 Middle School,Beijing No.80 High school,Beijing,Beijing,China,Middle School,RE-V5RC-25-3129,2025-10-24,118,57,61,57,70,false
44,61X,Beijing Chenjinglun High School Jiaming Branch,Beijing Chenjinglun High School Jiaming Branch,Beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,118,52,66,52,66,false
45,91233X,Irvine Ruiguan,Irvine  Ruiguan,Irvine,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,118,27,91,27,91,false
46,9568Z,Ctrl Z,RoboPlanet Education and Community Society,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-0680,2025-11-16,116,36,80,36,80,false
47,2773X,TIEYI MS,XIAN TIEYI MS,Xian,Shaanxi,China,Middle School,RE-V5RC-25-3497,2025-11-07,115,64,51,64,51,false
48,988K,ElectroDynamic,Unknown Club,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-1744,2025-10-03,115,50,65,50,65,false
49,6210H,Halapeños,HERITAGE CHRISTIAN SCHOOL,Indianapolis,Indiana,United States,Middle School,RE-V5RC-25-0744,2025-11-15,115,36,79,36,79,false
50,2731Z,Joymate-Z,"Qing'shao'niang, Shangcheng District, Hangzhou",Hangzhou,Zhejiang,China,Middle School,RE-V5RC-25-0834,2025-08-14,114,44,70,56,70,false
51,99182E,No Way,Cupertino STEM,Cupertino,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,114,41,73,41,74,false
52,38000A,Hefei No.38 MS A,Hefei No.38 middle school,Hefei,Anhui,China,Middle School,RE-V5RC-25-3497,2025-11-07,113,63,50,63,50,false
53,88613Y,MSch Team of The HSch Aff. BNU,Middle school affiliated to Beijing Normal University,Beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,113,45,68,45,68,false
54,3588Y,Cyber Spacers,Edubot Inc.,Torrance,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,112,41,71,41,71,false
55,10066A,Harvest,RoboRoots,University Park,Texas,United States,Middle School,RE-V5RC-25-9995,2025-11-15,111,36,75,36,75,false
56,61801X,pr0phet,兰州市城关区零壹科技培训学校有限公司,Lanzhou,Gansu,China,Middle School,RE-V5RC-25-3497,2025-11-07,110,48,62,48,62,false
57,4863A,APEX,Irving STEAM Magnet,Los Angeles,California,United States,Middle School,RE-V5RC-25-1049,2025-10-18,110,43,67,43,67,false
58,7756Y,陈经纶中学分校,Branch of Beijing Chenjinglun Middle School,Beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,110,41,69,41,69,false
59,12998A,12998A,上海华东师范大学附属进华中学,中国上海,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,109,53,56,53,58,false
60,10688V,Gravity Defiers,Private,San Jose,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,108,43,65,43,65,false
61,95070B,Redwood Robotics,Redwood PTA,Saratoga,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,108,28,80,28,80,false
62,8838B,Robohawks - Century,ORCHARD HILLS,Irvine,California,United States,Middle School,RE-V5RC-25-1249,2025-11-16,107,43,64,43,64,false
63,8193D,Shanghai Yongchang D,Shanghai Yongchang Private School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,107,39,68,39,68,false
64,938A,Blaze Last Minute,Blaze Robotics Academy,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0054,2025-11-23,107,33,74,33,74,false
65,28F,清华大学附属中学望京学校,Tsinghua University Affiliated Middle School Wangjing School,beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,106,49,57,49,62,false
66,2731M,Four-Leaf Clover Team,zhijiang&aoti school,Hangzhou,Zhejiang,China,Middle School,RE-V5RC-25-1748,2025-10-24,105,53,52,53,58,false
67,9537S,Cyber Cowboys S,WILLMA CAVITT JUNIOR HIGH,Granite Bay,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,105,42,63,42,63,false
68,8796S,Powerful Team,"Qing'shao'niang, Shangcheng District, Hangzhou",Hangzhou City,Zhejiang,China,Middle School,RE-V5RC-25-1748,2025-10-24,104,43,61,43,61,false
69,88825A,88825A,Shanghai Koller Foreign Language School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-0834,2025-08-14,104,40,64,40,64,false
70,78857V,Tsinglan V,Tsinglan shool,Dongguan,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,103,46,57,46,57,false
71,90555A,Mechanical storm,Shanghai Minhang Xinsong Middle School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,103,38,65,38,65,false
72,2429A,Blockbot - Radiant,Radiant,Irvine,California,United States,Middle School,RE-V5RC-25-0205,2025-11-21,102,37,65,37,65,false
73,5218A,HAIDIAN FUTURE ACADEMY TEAM A,BEIJING HAIDIAN FUTURE ACADEMY,beijing,Beijing,China,Middle School,RE-V5RC-25-1177,2025-09-26,101,26,75,36,75,false
74,89889K,xkk,华南师范大学附属中学,gz,Guangdong,China,Middle School,RE-V5RC-25-1744,2025-10-03,101,36,65,36,65,false
75,2899A,Shooting Stars,Shooting Stars USA Corp.,Arcadia,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,100,27,73,31,73,false
76,3515X,GOGO BOBA,Irvine Robotics        ,Irvine,California,United States,Middle School,RE-V5RC-25-0816,2025-09-13,99,42,57,42,64,false
77,20850S,Skylight,AOE Robotics Club ,Rockville,Maryland,United States,Middle School,RE-V5RC-25-0154,2025-11-12,99,35,64,35,66,false
78,16610G,Good Gravy,Techblazers,Richmond Hill,Ontario,Canada,Middle School,RE-V5RC-25-0154,2025-11-12,99,34,65,34,80,false
79,2145Y,Pink Spanglee Unicorns,Pink Unicorns,Manassas,Virginia,United States,Middle School,RE-V5RC-25-0506,2025-11-08,99,24,75,24,75,false
80,886E,Excel | WPRA,Western Pacific Robotics Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,99,20,79,20,79,false
81,99209X,Refract,1x Robotics,Manassas,Virginia,United States,Middle School,RE-V5RC-25-0154,2025-11-12,98,40,58,40,69,false
82,2211X,Islanders,Caribbean Robotics Academy,Caguas,,Puerto Rico,Middle School,RE-V5RC-25-0054,2025-11-23,98,30,68,30,68,false
83,3324Y,Supernova yikes,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States,Middle School,RE-V5RC-25-0285,2025-11-15,98,20,78,20,78,false
84,10012W,Ten Ton Robotics,West Vancouver School District,West Vancouver,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,98,15,83,15,83,false
85,56668A,QIANTANG&RUANJIANYUAN&GUERSHI,QIANTANG&RUANJIANYUAN&GUERSHI,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-1913,2025-11-07,97,43,54,43,54,false
86,95070A,Redwood Robotics,Redwood PTA,Saratoga,California,United States,Middle School,RE-V5RC-25-0388,2025-11-09,97,25,72,25,74,false
87,61Z,The Affiliated High School to UIBE,The Affiliated High School to UIBE,beijing,Beijing,China,Middle School,RE-V5RC-25-1177,2025-09-26,95,28,67,28,67,false
88,19091A,Smilodon,Smilodon,Palo Alto,California,United States,Middle School,RE-V5RC-25-1473,2025-11-15,95,15,80,20,80,false
89,7006E,Iron Talons,保定市第十七中学,Baoding,Hebei,China,Middle School,RE-V5RC-25-2050,2025-10-04,95,15,80,15,80,false
90,2783A,TIEYI MS,XIAN TIEYI MS,XIAN,Shaanxi,China,Middle School,RE-V5RC-25-3771,2025-11-14,94,38,56,38,56,false
91,77774X,Nexus,Madison Middle School,Madison,Mississippi,United States,Middle School,RE-V5RC-25-0205,2025-11-21,94,32,62,32,62,false
92,18569A,Beijing JiaoTong-A 交大附中,The High School Attached to Beijing Jiaotong University,beijing,Beijing,China,Middle School,RE-V5RC-25-2050,2025-10-04,94,11,83,11,83,false
93,77774Z,Zenith,Madison Middle School,Madison,Mississippi,United States,Middle School,RE-V5RC-25-0205,2025-11-21,93,32,61,32,61,false
94,2088H,Boopleanoot,Western Mechatronics Robotics Club,Calgary,Alberta,Canada,Middle School,RE-V5RC-25-1906,2025-11-22,93,23,70,23,70,false
95,5218B,BEIJING HAIDIAN FUTURE ACADEMY,BEIJING HAIDIAN FUTURE ACADEMY,Beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,91,44,47,44,47,false
96,13765P,MTS_MAVER1CKS,Merchant Taylors' School,London,,United Kingdom,Middle School,RE-V5RC-25-0670,2025-11-22,91,30,61,30,61,false
97,13322C,simc,先锋实验室,Gz,Guangdong,China,Middle School,RE-V5RC-25-1744,2025-10-03,91,27,64,27,64,false
98,33333A,HeFei  X-Robo A,X-Robo,Hefei,Anhui,China,Middle School,RE-V5RC-25-3497,2025-11-07,90,43,47,43,47,false
99,98861A,LOTECisdera,F & W,Mckinney,Texas,United States,Middle School,RE-V5RC-25-0205,2025-11-21,90,15,75,30,75,false
100,16699Y,Overclock MS,Overclock Robotics,Flushing,New York,United States,Middle School,RE-V5RC-25-0363,2025-11-15,90,22,68,22,68,false
101,79298X,Nexus,Altona Middle School,Longmont,Colorado,United States,Middle School,RE-V5RC-25-1628,2025-11-22,89,20,69,20,69,false
102,91233A,IRVINE RUIGUAN,IRVINE RUIGUAN,Irvine,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,89,0,89,0,89,false
103,39333Y,Legacy Yummy Chicken,Legacy Magnet Academy,TUSTIN,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,88,40,48,43,48,false
104,1940B,Axis,Knox Grammar School,Wahroonga,New South Wales,Australia,Middle School,RE-V5RC-25-1957,2025-10-11,88,21,67,21,67,false
105,886R,Richmond Learns to Drive | WPRA,Western Pacific Robotics Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-2572,2025-10-12,88,10,78,12,78,false
106,61B,Beijing No.19 High School,Beijing No.19 High School,Beijing,Beijing,China,Middle School,RE-V5RC-25-2050,2025-10-04,87,42,45,42,53,false
107,8192A,Shanghai Huangpu A,Shanghai Huangpu Teenagers S&T Activity Center,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,87,28,59,28,59,false
108,4613R,Barker Redbacks,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,87,15,72,15,72,false
109,1523Z,Zestfest,Steamoji Robotics,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0680,2025-11-16,85,44,41,44,45,false
110,12985A,12985A,上海建平地杰中学,中国上海,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,85,43,42,43,64,false
111,96140A,Clam Down,WOODCREST SCHOOL,Tarzana,California,United States,Middle School,RE-V5RC-25-0366,2025-10-18,85,30,55,30,69,false
112,47510A,MangoBot,Robotics Edge,Chandler,Arizona,United States,Middle School,RE-V5RC-25-2984,2025-11-22,85,11,74,21,74,false
113,62024A,Panda Robotics,Panda Robotics,Ho Chi Minh City,,Vietnam,Middle School,RE-V5RC-25-1400,2025-11-22,85,12,73,12,73,false
114,1677Z,宁波鄞州赫德实验学校,宁波鄞州赫德实验学校,宁波,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,84,37,47,37,47,false
115,2577X,Funky Monkeys,Monkey Business Incorporated,Birmingham,Alabama,United States,Middle School,RE-V5RC-25-0432,2025-11-08,84,20,64,28,64,false
116,12808Z,新疆生产建设兵团第二中学Z队,新疆生产建设兵团第二中学,Xinjiang,Xinjiang,China,Middle School,RE-V5RC-25-2050,2025-10-04,83,46,37,46,37,false
117,1633X,宁波市鄞州区钟公庙第二初级中学,宁波市鄞州区钟公庙第二初级中学,宁波,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,83,39,44,39,44,false
118,88825C,88825C,Shanghai Koller Foreign Language School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,83,30,53,30,53,false
119,20850Z,Full Throttle,AOE Robotics Club ,Rockville,Maryland,United States,Middle School,RE-V5RC-25-0154,2025-11-12,83,24,59,24,59,false
120,7481A,Penguinauts,LEAGUE CITY INT,League City,Texas,United States,Middle School,RE-V5RC-25-2095,2025-10-07,83,15,68,15,68,false
121,1523E,Synergy,Steamoji Robotics,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0205,2025-11-21,82,15,67,20,69,false
122,57000U,Beijing 57 High School Team ,Beijing No57 High School,Beijing,Beijing,China,Middle School,RE-V5RC-25-3129,2025-10-24,82,12,70,15,70,false
123,222A,Best Robotics Team A,Best Robotics,北京,Beijing,China,Middle School,RE-V5RC-25-2050,2025-10-04,81,26,55,26,55,false
124,56787C,FuZhou NO.1& PingDong MS,FuZhou NO.1& PingDong MS,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-1744,2025-10-03,81,25,56,25,56,false
125,52994A,52994A,杭州学军教育集团文渊实验初级学校,中国杭州,Zhejiang,China,Middle School,RE-V5RC-25-1748,2025-10-24,81,15,66,16,66,false
126,3150N,Nighthawks,Silver Owl Robotics Club,Richmond Hill,Ontario,Canada,Middle School,RE-V5RC-25-0205,2025-11-21,80,35,45,35,57,false
127,27908V,LSTS SINGULARITY,Lawrence S.Ting School,Ho Chi Minh City,,Vietnam,Middle School,RE-V5RC-25-1400,2025-11-22,80,28,52,28,52,false
128,9364X,Iron Eagles - Xtra-Fries,BRENTWOOD ACADEMY,Brentwood,Tennessee,United States,Middle School,RE-V5RC-25-0154,2025-11-12,80,20,60,20,60,false
129,8223B,Beijing No.80 Middle School 8223B,Beijing No.80 Middle School,Beijing,Beijing,China,Middle School,RE-V5RC-25-3129,2025-10-24,79,28,51,32,51,false
130,10606A,10th Gear,10th gear,San Jose,California,United States,Middle School,RE-V5RC-25-1021,2025-10-18,79,15,64,31,64,false
131,10478C,Error 404,Greig City Academy,London,,United Kingdom,Middle School,RE-V5RC-25-0670,2025-11-22,79,20,59,20,59,false
132,56789S,56789S,Fu Zhou PingShan&WuShan&QianTang,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-1913,2025-11-07,79,18,61,18,61,false
133,72202Z,QSE Robotics,CENTRAL HIGH SCHOOL,Little Rock,Arkansas,United States,Middle School,RE-V5RC-25-1823,2025-11-22,79,15,64,15,64,false
134,8838C,Robohawks - Celestial,ORCHARD HILLS,Irvine,California,United States,Middle School,RE-V5RC-25-1388,2025-10-25,79,15,64,15,64,false
135,28006C,Metal Megabots,NextGen Robotics Association,Plano,Texas,United States,Middle School,RE-V5RC-25-1976,2025-11-01,78,20,58,20,65,false
136,4886B,Bepé,Thetford Academy,Thetford Center,Vermont,United States,Middle School,RE-V5RC-25-9998,2025-11-15,78,15,63,15,63,false
137,16699X,Overclock MS,Overclock Robotics,Flushing,New York,United States,Middle School,RE-V5RC-25-0363,2025-11-15,78,15,63,15,69,false
138,8192C,Shanghai Huangpu C,Shanghai Huangpu Teenagers S&T Activity Center,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,77,35,42,35,42,false
139,1229M,Mangled Metal,Twelve Twenty Nine Robotics,Alexandria,Kentucky,United States,Middle School,RE-V5RC-25-2148,2025-11-08,77,20,57,20,57,false
140,3660X,"I mean, it works",Barton Academy for Advanced World Studies,Mobile,Alabama,United States,Middle School,RE-V5RC-25-1205,2025-09-30,77,15,62,15,62,false
141,8009Z,八一战队,北京市八一学校保定分校,Baoding,Hebei,China,Middle School,RE-V5RC-25-2050,2025-10-04,76,26,50,26,50,false
142,2674A,Leboba,Magikid Fremont,Fremont,California,United States,Middle School,RE-V5RC-25-1021,2025-10-18,76,15,61,15,61,false
143,38X,Absolute Zero,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States,Middle School,RE-V5RC-25-0381,2025-11-22,76,15,61,15,61,false
144,9568W,Alt-W,RoboPlanet Education and Community Society,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-0680,2025-11-16,76,15,61,15,61,false
145,673B,Silver Chariots,EAST VALLEY MIDDLE SCHOOL,Nampa,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,75,26,49,26,49,false
146,1388W,重庆南开（融侨）中学校,重庆南开（融侨）中学校,Chongqingcity,Chongqing,China,Middle School,RE-V5RC-25-3771,2025-11-14,74,40,34,40,34,false
147,74100A,Ambush,Concordia Lutheran Schools of Omaha,Omaha,Nebraska,United States,Middle School,RE-V5RC-25-2882,2025-11-22,74,15,59,28,59,false
148,39333X,Legacy Xcelerate,Legacy Magnet Academy,TUSTIN,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,74,15,59,15,59,false
149,3023V,New Start Robotics Team 3023V,Nsw Start Robotics,Beijing,Beijing,China,Middle School,RE-V5RC-25-2050,2025-10-04,74,8,66,8,66,false
150,40280X,Extreme Axolotls,Axolotls Robotics,Redwood Shores,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,73,33,40,33,48,false
151,95070F,Redwood Robotics,Redwood PTA,Saratoga,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,73,16,57,26,57,false
152,1829A,Phantom,Independent,Troy,Michigan,United States,Middle School,RE-V5RC-25-0381,2025-11-22,73,20,53,20,53,false
153,9652N,Southpointe Academy,Southpointe Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-0680,2025-11-16,73,20,53,20,53,false
154,61103Y,杭州狄邦文理学校,Hangzhou Dipont School of Arts and Science,Hangzhou,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,73,19,54,19,54,false
155,1840B,Singularity,Timberline Middle School,Redmond,Washington,United States,Middle School,RE-V5RC-25-2122,2025-11-22,73,15,58,15,58,false
156,56333Z,Fu Zhou No.19& PingDong MS,Fu Zhou No.19& PingDong MS,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-1744,2025-10-03,73,9,64,9,64,false
157,85659A,From New York,Lindfield Learning Village,Lindfield,New South Wales,Australia,Middle School,RE-V5RC-25-2099,2025-10-18,72,33,39,33,39,false
158,63544B,TKA Robotics,The King's Academy,West Palm Beach,Florida,United States,Middle School,RE-V5RC-25-1986,2025-11-08,72,28,44,28,44,false
159,23456V,机甲王Mecha King,Fuzhou No. 10 Middle School Create Future Robot,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-1744,2025-10-03,72,22,50,22,50,false
160,10012X,Ten Ton Robotics,West Vancouver School District,West Vancouver,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,72,20,52,20,52,false
161,886T,WPRA,Western Pacific Robotics Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-0146,2025-08-29,72,13,59,15,59,false
162,8501A,Bullet,Nan Hua High School,Singapore,,Singapore,Middle School,RE-V5RC-25-0371,2025-11-01,71,20,51,20,54,false
163,98868A,突破点,江西师范大学附属中学滨江校区,南昌,Jiangxi,China,Middle School,RE-V5RC-25-3497,2025-11-07,71,15,56,17,56,false
164,2783B,TIEYI MS,XIAN TIEYI MS,Xian,Shaanxi,China,Middle School,RE-V5RC-25-3771,2025-11-14,71,14,57,14,57,false
165,673F,Angry Apes,EAST VALLEY MIDDLE SCHOOL,Nampa,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,70,29,41,29,41,false
166,673G,Waffle Warriors,East Valley Middle School,Nampa,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,70,20,50,20,50,false
167,2566C,Big Shaq,Dulwich College Shanghai Pudong,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-0373,2025-07-17,70,17,53,17,53,false
168,90677A,Omg,上海市市西初级中学,上海,Shanghai,China,Middle School,RE-V5RC-25-0834,2025-08-14,70,17,53,17,53,false
169,17711V,Vector,Independent,Sutton,,United Kingdom,Middle School,RE-V5RC-25-9988,2025-11-22,70,15,55,15,57,false
170,2982A,AVERAGE INTELLIGENCE,Robotfun Academy,Wellesley Hills,Massachusetts,United States,Middle School,RE-V5RC-25-9990,2025-11-23,70,0,70,0,70,false
171,10702Y,Andromeda Apes,Galaxy Robotics,Austin,Texas,United States,Middle School,RE-V5RC-25-0205,2025-11-21,69,23,46,23,46,false
172,29599V,ChongqingNanKai Liangjiang Secondary School,ChongqingNanKai Liangjiang Secondary School,重庆市,Chongqing,China,Middle School,RE-V5RC-25-3771,2025-11-14,69,20,49,20,49,false
173,886M,WPRA,Western Pacific Robotics Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,69,20,49,20,49,false
174,13322A,sim,先锋实验室,gz,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,69,18,51,18,51,false
175,96789S,Mecha Force,Mililani Mechs Robotics,Mililani,Hawaii,United States,Middle School,RE-V5RC-25-2038,2025-11-22,69,15,54,15,54,false
176,13322G,Smile,先锋实验室,Gz,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,68,28,40,28,40,false
177,8860C,Uber Eats,Hudsonville Robotics - Baldwin MS,Hudsonville,Michigan,United States,Middle School,RE-V5RC-25-2283,2025-11-24,68,23,45,24,45,false
178,2982B,Bagarre Bears,Robotfun Academy,Wellesley Hills,Massachusetts,United States,Middle School,RE-V5RC-25-1516,2025-11-08,68,5,63,15,63,false
179,93601A,Reheated Polar Monkeys,Shore,North Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,68,0,68,15,68,false
